,country,song,artist,year,points,running_order,place,points_normalized
0,Netherlands,Net Als Toen,Corry Brokken,1957,0.040897097,6,1,0.040897097
1,France,La Belle Amour,Paule Desjardins,1957,0.022427442,8,2,0.022427442
2,Denmark,Skibet Skal Sejle I Nat,Birthe Wilke & Gustav Winckler,1957,0.013192612,9,3,0.013192612
3,Luxembourg,Amours Mortes (Tant De Peine),Danièle Dupré,1957,0.01055409,2,4,0.01055409
4,Germany,"Telefon, Telefon",Margot Hielscher,1957,0.01055409,7,4,0.01055409
5,Italy,Corde Della Mia Chitarra,Nunzio Gallo,1957,0.009234829,4,6,0.009234829
6,United Kingdom,All,Patricia Bredin,1957,0.007915568,3,7,0.007915568
7,Belgium,Straatdeuntje,Bobbejaan Schoepen,1957,0.006596306,1,8,0.006596306
8,Switzerland,L'enfant Que J'étais,Lys Assia,1957,0.006596306,10,8,0.006596306
9,Austria,"Wohin, Kleines Pony",Bob Martin,1957,0.003957784,5,10,0.003957784
10,France,Dors Mon Amour,André Claveau,1958,0.035620052,3,1,0.035620052
11,Switzerland,Giorgio,Lys Assia,1958,0.03166227,10,2,0.03166227
12,Italy,Nel Blu Dipinto Di Blu,Domenico Modugno,1958,0.017150396,1,3,0.017150396
13,Sweden,Lilla Stjärna,Alice Babs,1958,0.013192612,5,4,0.013192612
14,Belgium,Ma Petite Chatte,Fud Leclerc,1958,0.01055409,7,5,0.01055409
15,Austria,Die Ganze Welt Braucht Liebe,Liane Augustin,1958,0.01055409,9,5,0.01055409
16,Germany,Für Zwei Groschen Musik,Margot Hielscher,1958,0.006596306,8,7,0.006596306
17,Denmark,Jeg Rev Et Blad Ud Af Min Dagbog,Raquel Rastenni,1958,0.003957784,6,8,0.003957784
18,Netherlands,Heel De Wereld,Corry Brokken,1958,0.0013192613,2,9,0.0013192613
19,Luxembourg,Un Grand Amour,Solange Berry,1958,0.0013192613,4,9,0.0013192613
20,Netherlands,Een Beetje,Teddy Scholten,1959,0.027704485,5,1,0.027704485
21,United Kingdom,Sing Little Birdie,Pearl Carr & Teddy Johnson,1959,0.02110818,10,2,0.02110818
22,France,"Oui, Oui, Oui, Oui",Jean Philippe,1959,0.019788919,1,3,0.019788919
23,Switzerland,Irgendwoher,Christa Williams,1959,0.018469658,8,4,0.018469658
24,Denmark,"Uh, Jeg Ville Ønske Jeg Var Dig",Birthe Wilke,1959,0.015831135,2,5,0.015831135
25,Italy,Piove,Domenico Modugno,1959,0.0118733505,3,6,0.0118733505
26,Belgium,Hou Toch Van Mij,Bob Benny,1959,0.0118733505,11,6,0.0118733505
27,Germany,Heut' Woll'n Wir Tanzen Geh'n,Alice and Ellen Kessler,1959,0.006596306,6,8,0.006596306
28,Sweden,Augustin,Brita Borg,1959,0.005277045,7,9,0.005277045
29,Austria,Der K. Und K. Kalypso Aus Wien,Ferry Graf,1959,0.005277045,9,9,0.005277045
30,Monaco,Mon Ami Pierrot,Jacques Pills,1959,0.0013192613,4,11,0.0013192613
31,France,Tom Pillibi,Jacqueline Boyer,1960,0.04221636,13,1,0.04221636
32,United Kingdom,"Looking High, High, High",Bryan Johnson,1960,0.03298153,1,2,0.03298153
33,Monaco,Ce Soir-là,François Deguelt,1960,0.019788919,8,3,0.019788919
34,Norway,Voi-voi,Nora Brockstedt,1960,0.014511873,6,4,0.014511873
35,Germany,"Bonne Nuit, Ma Chérie!",Wyn Hoop,1960,0.014511873,11,4,0.014511873
36,Belgium,Mon Amour Pour Toi,Fud Leclerc,1960,0.0118733505,5,6,0.0118733505
37,Austria,Du Hast Mich So Fasziniert,Harry Winter,1960,0.007915568,7,7,0.007915568
38,Switzerland,Cielo E Terra,Anita Traversi,1960,0.006596306,9,8,0.006596306
39,Italy,Romantica,Renato Rascel,1960,0.006596306,12,8,0.006596306
40,Sweden,Alla Andra Får Varann,Siw Malmkvist,1960,0.005277045,2,10,0.005277045
41,Denmark,Det Var En Yndig Tid,Katy Bødtger,1960,0.005277045,4,10,0.005277045
42,Netherlands,Wat Een Geluk,Rudi Carrell,1960,0.0026385225,10,12,0.0026385225
43,Luxembourg,So Laang We's Du Do Bast,Camillo Felgen,1960,0.0013192613,3,13,0.0013192613
44,Luxembourg,Nous Les Amoureux,Jean-Claude Pascal,1961,0.040897097,14,1,0.040897097
45,United Kingdom,Are You Sure?,The Allisons,1961,0.03166227,15,2,0.03166227
46,Switzerland,Nous Aurons Demain,Franca di Rienzo,1961,0.02110818,10,3,0.02110818
47,France,Printemps (avril Carillonne),Jean-Paul Mauric,1961,0.017150396,9,4,0.017150396
48,Denmark,Angelique,Dario Campeotto,1961,0.015831135,13,5,0.015831135
49,Italy,Al Di Là,Betty Curtis,1961,0.015831135,16,5,0.015831135
50,Norway,Sommer i Palma,Nora Brockstedt,1961,0.013192612,12,7,0.013192612
51,Yugoslavia,Neke Davne Zvezde,Ljiljana Petrović,1961,0.0118733505,5,8,0.0118733505
52,Spain,Estando Contigo,Conchita Bautista,1961,0.01055409,1,9,0.01055409
53,Monaco,"Allons, Allons Les Enfants",Colette Deréal,1961,0.007915568,2,10,0.007915568
54,Finland,Valoa Ikkunassa,Laila Kinnunen,1961,0.007915568,4,10,0.007915568
55,Netherlands,Wat Een Dag,Greetje Kauffeld,1961,0.007915568,6,10,0.007915568
56,Germany,Einmal Sehen Wir Uns Wieder,Lale Andersen,1961,0.003957784,8,13,0.003957784
57,Sweden,"April, April",Lill-Babs,1961,0.0026385225,7,14,0.0026385225
58,Austria,Sehnsucht,Jimmy Makulis,1961,0.0013192613,3,15,0.0013192613
59,Belgium,"September, Gouden Roos",Bob Benny,1961,0.0013192613,11,15,0.0013192613
60,France,Un Premier Amour,Isabelle Aubret,1962,0.034300793,9,1,0.034300793
61,Monaco,Dis Rien,François Deguelt,1962,0.017150396,16,2,0.017150396
62,Luxembourg,Petit Bonhomme,Camillo Felgen,1962,0.014511873,14,3,0.014511873
63,Yugoslavia,Ne Pali Svetlo U Sumrak,Lola Novaković,1962,0.013192612,12,4,0.013192612
64,United Kingdom,Ring-a-ding Girl,Ronnie Carroll,1962,0.013192612,13,4,0.013192612
65,Germany,Zwei Kleine Italiener,Conny Froboess,1962,0.0118733505,7,6,0.0118733505
